< 확률과통계 or 사회탐구 응시자 기준 분석결과 >,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1) 적정점수=합격률80%인 점수, 예상점수=합격률50%인 점수, 소신점수=합격률20%인 점수",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2) 나의 점수가 적정점수 이상인 경우(=합격률80%이상)은 진한녹색. 예상점수 이상이나 적정점수 미만인 경우(=합격률50~79%) 연한녹색. 예상점수 미만인 경우 노랑색(=합격률20~49%; 소신점수 이상) 또는 붉은색(=합격률20%미만; 소신점수에도 미달), 필수과목 결격사유로 응시제한된 경우 흰색",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
모집단위,,,,나의 환산점수 및 환산점수기준 계열內전국등수(누백),,,,,2026학년도(20251113수능) 기준 지원선,,,,,,문과응시자기준 과거입시결과(합격권),,,,,,과거입시결과(상위70%),,,,,,모집군 및 정원,,,,,,,,수능반영방법,,,,,,,,,국수탐구성비 및 영어1등급대비감점,,,,,,,,,,,,,,
계열,대학교,전공,합격가능성,수능점수,내신점수,수능+내신,누백,전국등수 / 문과,적정점수,예상점수,소신점수,적정누백,예상누백,소신누백,2411 ,2311 ,2211 ,2111 ,2011 ,1911 ,2411 ,2311 ,2211 ,2111 ,2011 ,1911 ,대학구분,모집군,정원,시도,시군,학과특성,대학교(약칭),전공(약칭),선발유형,점수환산,수탐선택,수능요소,수능조합,필수,선택,가중택,탐구과목수,국어배점,수학배점,탐구배점,국어구성비,수학구성비,탐구구성비,영어1환점,영어2환점,영어3환점,영어4환점,영어5환점,영어6환점,영어7환점,영어8환점,영어9환점
문과,가천대학교,의예과,오류(영어국사),0.00 ,0.00 ,0.00 ,,,98.47 ,98.33 ,98.13 ,0.04 ,0.05 ,0.08 ,0.07 ,-,-,-,-,-,0.05 ,-,-,-,-,-,★의대,가,13 ,인천,인천,공통,가천대,의예,이과계열,가천의학,미적기하+과탐 필수,백+백,국수영탐(2),국수영탐(2),,,2 ,25 ,30 ,25 ,31%,38%,31%,0.00 ,-0.60 ,-1.20 ,-2.40 ,-3.60 ,-7.60 ,-9.60 ,-11.60 ,-13.60 
문과,가톨릭관동대학교,의예과,오류(영어국사),0.00 ,0.00 ,0.00 ,,,1005.01 ,1002.13 ,998.63 ,0.00 ,0.01 ,0.04 ,0.05 ,0.01 ,0.00 ,0.01 ,0.04 ,0.05 ,0.01 ,0.01 ,0.00 ,0.01 ,0.03 ,0.04 ,★의대,다,16 ,강원,강릉,공통,관동대,의예,통합선발,관동의학,자유선택,백+백,국수영탐(2),국수영탐(2),,,2 ,200 ,300 ,300 ,25%,38%,38%,0.00 ,-4.00 ,-10.00 ,-16.00 ,-22.00 ,-28.00 ,-34.00 ,-40.00 ,-44.00 
문과,가톨릭관동대학교,의예과[지역],오류(영어국사),0.00 ,0.00 ,0.00 ,,,1002.25 ,995.40 ,985.99 ,0.01 ,0.09 ,0.28 ,-,-,-,-,-,-,-,-,-,-,-,-,★의대,다,2 ,강원,강릉,공통,관동대,의예(지),통합선발,관동의학,자유선택,백+백,국수영탐(2),국수영탐(2),,,2 ,200 ,300 ,300 ,25%,38%,38%,0.00 ,-4.00 ,-10.00 ,-16.00 ,-22.00 ,-28.00 ,-34.00 ,-40.00 ,-44.00 
문과,가톨릭대학교,의예과,오류(영어국사),0.00 ,0.00 ,0.00 ,,,664.23 ,662.06 ,657.74 ,0.00 ,0.00 ,0.00 ,0.01 ,-,-,-,-,-,0.01 ,-,-,-,-,-,★의대,가,37 ,서울,서울,공통,가톨릭,의예,통합선발,가톨릭의학,자유선택,표+변,국수영탐(2),국수영탐(2),,,2 ,285 ,380 ,285 ,30%,40%,30%,0.00 ,-0.95 ,-2.85 ,-4.75 ,-6.65 ,-8.55 ,-11.40 ,-14.25 ,-19.00 
문과,강원대학교,의예과,오류(영어국사),0.00 ,0.00 ,0.00 ,,,508.03 ,505.96 ,504.35 ,0.00 ,0.01 ,0.01 ,0.04 ,-,-,-,-,-,0.04 ,-,-,-,-,-,★의대,가,10 ,강원,춘천,공통,강원대,의예,이과계열,강원의학,과탐 필수,백+백,국수영탐(2),국수영탐(2),,,2 ,100 ,150 ,150 ,25%,38%,38%,0.00 ,-3.00 ,-6.00 ,-9.00 ,-19.00 ,-22.00 ,-25.00 ,-28.00 ,-100.00 
문과,강원대학교,의예과[지역],오류(영어국사),0.00 ,0.00 ,0.00 ,,,506.18 ,502.88 ,499.54 ,0.01 ,0.01 ,0.01 ,0.28 ,-,-,-,-,-,0.19 ,-,-,-,-,-,★의대,가,5 ,강원,춘천,공통,강원대,의예(지),이과계열,강원의학,과탐 필수,백+백,국수영탐(2),국수영탐(2),,,2 ,100 ,150 ,150 ,25%,38%,38%,0.00 ,-3.00 ,-6.00 ,-9.00 ,-19.00 ,-22.00 ,-25.00 ,-28.00 ,-100.00 
문과,건국대학교(글로컬),의예과,오류(영어국사),0.00 ,0.00 ,0.00 ,,,969.29 ,964.72 ,957.35 ,0.06 ,0.10 ,0.21 ,0.13 ,-,-,-,-,-,0.05 ,-,-,-,-,-,★의대,다,9 ,충북,충주,공통,건국글,의예,이과계열,건국글의학,과탐 필수,표+표,국수영탐(2),국수영탐(2),,,2 ,200 ,300 ,300 ,25%,38%,38%,0.00 ,-10.53 ,-21.05 ,-31.58 ,-42.11 ,-115.79 ,-136.84 ,-157.89 ,-200.00 
문과,건국대학교(글로컬),의예과[지역],오류(영어국사),0.00 ,0.00 ,0.00 ,,,963.34 ,958.07 ,950.36 ,0.11 ,0.20 ,0.37 ,0.70 ,-,-,-,-,-,0.48 ,-,-,-,-,-,★의대,다,13 ,충북,충주,공통,건국글,의예(지),이과계열,건국글의학,과탐 필수,표+표,국수영탐(2),국수영탐(2),,,2 ,200 ,300 ,300 ,25%,38%,38%,0.00 ,-10.53 ,-21.05 ,-31.58 ,-42.11 ,-115.79 ,-136.84 ,-157.89 ,-200.00 
문과,건양대학교,의예과,오류(영어국사),0.00 ,0.00 ,0.00 ,,,982.35 ,979.79 ,977.00 ,0.16 ,0.20 ,0.25 ,0.20 ,-,-,-,-,-,0.18 ,-,-,-,-,-,★의대,가,5 ,대전,대전,공통,건양대,의예,이과계열,건양의학,과탐 필수,백+백,국수영탐(2),국수영탐(2),,,2 ,200 ,300 ,300 ,25%,38%,38%,0.00 ,-4.00 ,-8.00 ,-12.00 ,-16.00 ,-20.00 ,-24.00 ,-28.00 ,-32.00 
문과,건양대학교,의예과[지역],오류(영어국사),0.00 ,0.00 ,0.00 ,,,979.22 ,974.00 ,967.18 ,0.21 ,0.31 ,0.53 ,-,-,-,-,-,-,-,-,-,-,-,-,★의대,가,1 ,대전,대전,공통,건양대,의예(지),이과계열,건양의학,과탐 필수,백+백,국수영탐(2),국수영탐(2),,,2 ,200 ,300 ,300 ,25%,38%,38%,0.00 ,-4.00 ,-8.00 ,-12.00 ,-16.00 ,-20.00 ,-24.00 ,-28.00 ,-32.00 
문과,경북대학교,의예과,오류(영어국사),0.00 ,0.00 ,0.00 ,,,742.73 ,739.76 ,736.94 ,0.00 ,0.00 ,0.01 ,0.05 ,-,-,-,-,-,0.04 ,-,-,-,-,-,★의대,가,10 ,대구,대구,공통,경북대,의예,통합선발,경북간호,자유선택,표+변,국수영탐(2),국수영탐(2),,,2 ,250 ,375 ,250 ,29%,43%,29%,0.00 ,-3.75 ,-10.00 ,-16.25 ,-22.50 ,-28.75 ,-35.00 ,-41.25 ,-47.50 
문과,경북대학교,의예과[지역],오류(영어국사),0.00 ,0.00 ,0.00 ,,,739.39 ,735.45 ,731.79 ,0.00 ,0.01 ,0.03 ,0.06 ,-,-,-,-,-,0.05 ,-,-,-,-,-,★의대,가,13 ,대구,대구,공통,경북대,의예(지),통합선발,경북간호,자유선택,표+변,국수영탐(2),국수영탐(2),,,2 ,250 ,375 ,250 ,29%,43%,29%,0.00 ,-3.75 ,-10.00 ,-16.25 ,-22.50 ,-28.75 ,-35.00 ,-41.25 ,-47.50 
문과,경상국립대학교,의예과,오류(영어국사),0.00 ,0.00 ,0.00 ,,,974.21 ,970.77 ,963.39 ,0.03 ,0.04 ,0.09 ,0.05 ,-,-,-,-,-,0.03 ,-,-,-,-,-,★의대,가,7 ,경남,진주,공통,경상대,의예,이과계열,경상의학,미적기하+과탐 필수,표+표,국수영탐(2),국수영탐(2),,,2 ,250 ,300 ,250 ,31%,38%,31%,0.00 ,-4.00 ,-8.00 ,-12.00 ,-16.00 ,-20.00 ,-24.00 ,-28.00 ,-32.00 
문과,경상국립대학교,의예과[지역],오류(영어국사),0.00 ,0.00 ,0.00 ,,,970.43 ,963.56 ,953.32 ,0.04 ,0.09 ,0.27 ,0.27 ,-,-,-,-,-,0.18 ,-,-,-,-,-,★의대,가,19 ,경남,진주,공통,경상대,의예(지),이과계열,경상의학,미적기하+과탐 필수,표+표,국수영탐(2),국수영탐(2),,,2 ,250 ,300 ,250 ,31%,38%,31%,0.00 ,-4.00 ,-8.00 ,-12.00 ,-16.00 ,-20.00 ,-24.00 ,-28.00 ,-32.00 
문과,경희대학교,의예과,오류(영어국사),0.00 ,0.00 ,0.00 ,,,560.93 ,558.16 ,554.64 ,0.00 ,0.00 ,0.00 ,0.00 ,-,-,-,-,-,0.00 ,-,-,-,-,-,★의대,나,55 ,서울,서울,공통,경희대,의예,통합선발,경희자연,자유선택,표+변,국수영탐(2),국수영탐(2),,,2 ,200 ,320 ,280 ,25%,40%,35%,0.00 ,0.00 ,-2.00 ,-4.00 ,-8.00 ,-12.00 ,-18.00 ,-24.00 ,-30.00 
문과,계명대학교,의예과,오류(영어국사),0.00 ,0.00 ,0.00 ,,,398.58 ,397.44 ,396.39 ,0.11 ,0.17 ,0.22 ,0.18 ,-,-,-,-,-,0.16 ,-,-,-,-,-,★의대,다,15 ,대구,대구,공통,계명대,의예,이과계열,계명의학,미적기하+과탐 필수,백+백,국수영탐(2),국수영탐(2),,,2 ,100 ,120 ,100 ,31%,38%,31%,0.00 ,-1.60 ,-4.80 ,-8.00 ,-11.20 ,-14.40 ,-17.60 ,-20.80 ,-32.00 
문과,계명대학교,의예과[지역],오류(영어국사),0.00 ,0.00 ,0.00 ,,,397.30 ,395.51 ,393.09 ,0.18 ,0.26 ,0.41 ,0.32 ,-,-,-,-,-,-,-,-,-,-,-,★의대,다,22 ,대구,대구,공통,계명대,의예(지),이과계열,계명의학,미적기하+과탐 필수,백+백,국수영탐(2),국수영탐(2),,,2 ,100 ,120 ,100 ,31%,38%,31%,0.00 ,-1.60 ,-4.80 ,-8.00 ,-11.20 ,-14.40 ,-17.60 ,-20.80 ,-32.00 
문과,고려대학교,의과대학,오류(영어국사),0.00 ,0.00 ,0.00 ,,,698.71 ,695.97 ,694.23 ,0.00 ,0.00 ,0.00 ,0.02 ,-,-,-,-,-,0.02 ,-,-,-,-,-,★의대,가,20 ,서울,서울,공통,고려대,의예,통합선발,고려자연,자유선택,표+변,국수영탐(2),국수영탐(2),,,2 ,313 ,375 ,313 ,31%,38%,31%,0.00 ,-3.00 ,-6.00 ,-9.00 ,-12.00 ,-15.00 ,-18.00 ,-21.00 ,-24.00 
문과,고려대학교,의과대학[교과],오류(영어국사),0.00 ,0.00 ,0.00 ,,,753.77 ,751.34 ,749.10 ,0.00 ,0.00 ,0.00 ,0.03 ,-,-,-,-,-,0.02 ,-,-,-,-,-,★의대,가,19 ,서울,서울,공통,고려대,의예(교),통합선발,고려자연교과,자유선택,표+변,국수영탐(2),국수영탐(2),,,2 ,250 ,300 ,250 ,31%,38%,31%,0.00 ,-2.40 ,-4.80 ,-7.20 ,-9.60 ,-12.00 ,-14.40 ,-16.80 ,-19.20 
문과,고신대학교,의예과,오류(영어국사),0.00 ,0.00 ,0.00 ,,,676.65 ,674.50 ,672.00 ,0.06 ,0.10 ,0.16 ,0.11 ,-,-,-,-,-,0.10 ,-,-,-,-,-,★의대,다,10 ,부산,부산,공통,고신대,의예,이과계열,고신의학,미적기하+과탐 필수,표+표,국수영탐(2),국수영탐(2),,,2 ,200 ,300 ,200 ,29%,43%,29%,0.00 ,-3.00 ,-9.00 ,-18.00 ,-30.00 ,-39.00 ,-45.00 ,-48.00 ,-52.50 
문과,고신대학교,의예과[지역],오류(영어국사),0.00 ,0.00 ,0.00 ,,,674.00 ,670.86 ,663.50 ,0.11 ,0.18 ,0.47 ,0.19 ,-,-,-,-,-,0.18 ,-,-,-,-,-,★의대,다,8 ,부산,부산,공통,고신대,의예(지),이과계열,고신의학,미적기하+과탐 필수,표+표,국수영탐(2),국수영탐(2),,,2 ,200 ,300 ,200 ,29%,43%,29%,0.00 ,-3.00 ,-9.00 ,-18.00 ,-30.00 ,-39.00 ,-45.00 ,-48.00 ,-52.50 
문과,단국대학교(천안),의예과,오류(영어국사),0.00 ,0.00 ,0.00 ,,,977.43 ,973.69 ,970.39 ,0.03 ,0.05 ,0.06 ,0.07 ,-,-,-,-,-,0.05 ,-,-,-,-,-,★의대,다,7 ,충남,천안,공통,단국천,의예,이과계열,단국천의학,미적기하+과탐 필수,표+백,국수영탐(2),국수영탐(2),,,2 ,250 ,350 ,250 ,29%,41%,29%,0.00 ,-15.00 ,-45.00 ,-90.00 ,-105.00 ,-120.00 ,-127.50 ,-142.50 ,-150.00 
문과,단국대학교(천안),의예과[지역],오류(영어국사),0.00 ,0.00 ,0.00 ,,,973.33 ,967.05 ,957.09 ,0.05 ,0.10 ,0.27 ,-,-,-,-,-,-,-,-,-,-,-,-,★의대,다,7 ,충남,천안,공통,단국천,의예(지),이과계열,단국천의학,미적기하+과탐 필수,표+백,국수영탐(2),국수영탐(2),,,2 ,250 ,350 ,250 ,29%,41%,29%,0.00 ,-15.00 ,-45.00 ,-90.00 ,-105.00 ,-120.00 ,-127.50 ,-142.50 ,-150.00 
문과,대구가톨릭대학교,의예과,오류(영어국사),0.00 ,0.00 ,0.00 ,,,527.46 ,524.58 ,521.92 ,0.04 ,0.08 ,0.12 ,0.09 ,-,-,-,-,-,0.08 ,-,-,-,-,-,★의대,다,10 ,대구,대구,공통,대가대,의예,이과계열,대가의학,미적기하+과탐 필수,표+표,국수영탐(2),국수영탐(2),,,2 ,240 ,240 ,120 ,40%,40%,20%,0.00 ,-8.00 ,-16.00 ,-24.00 ,-32.00 ,-40.00 ,-48.00 ,-56.00 ,-64.00 
문과,대구가톨릭대학교,의예과[지역],오류(영어국사),0.00 ,0.00 ,0.00 ,,,524.35 ,521.27 ,517.39 ,0.08 ,0.14 ,0.28 ,0.10 ,-,-,-,-,-,-,-,-,-,-,-,★의대,수시이월,0 ,대구,대구,공통,대가대,의예(지),이과계열,대가의학,미적기하+과탐 필수,표+표,국수영탐(2),국수영탐(2),,,2 ,240 ,240 ,120 ,40%,40%,20%,0.00 ,-8.00 ,-16.00 ,-24.00 ,-32.00 ,-40.00 ,-48.00 ,-56.00 ,-64.00 
문과,동국대학교(WISE),의예과,오류(영어국사),0.00 ,0.00 ,0.00 ,,,996.86 ,994.15 ,991.88 ,0.05 ,0.09 ,0.13 ,0.15 ,-,-,-,-,-,0.13 ,-,-,-,-,-,★의대,다,6 ,경북,경주,공통,동국경,의예,이과계열,동국경의학,미적기하+과탐 필수,백+백,국수영탐(2),국수영탐(2),,,2 ,250 ,350 ,200 ,31%,44%,25%,0.00 ,-10.00 ,-20.00 ,-30.00 ,-40.00 ,-50.00 ,-60.00 ,-70.00 ,-80.00 
문과,동국대학교(WISE),의예과[지역],오류(영어국사),0.00 ,0.00 ,0.00 ,,,994.00 ,989.00 ,982.50 ,0.10 ,0.21 ,0.31 ,-,-,-,-,-,-,-,-,-,-,-,-,★의대,다,1 ,경북,경주,공통,동국경,의예(지),이과계열,동국경의학,미적기하+과탐 필수,백+백,국수영탐(2),국수영탐(2),,,2 ,250 ,350 ,200 ,31%,44%,25%,0.00 ,-10.00 ,-20.00 ,-30.00 ,-40.00 ,-50.00 ,-60.00 ,-70.00 ,-80.00 
문과,동아대학교,의예과,오류(영어국사),0.00 ,0.00 ,0.00 ,,,614.05 ,612.35 ,609.60 ,0.01 ,0.03 ,0.06 ,0.04 ,-,-,-,-,-,0.04 ,-,-,-,-,-,★의대,가,10 ,부산,부산,공통,동아대,의예,통합선발,동아의학,자유선택,표+표,국수영탐(2),국수영탐(2),,,2 ,200 ,200 ,200 ,33%,33%,33%,0.00 ,-2.00 ,-5.00 ,-8.00 ,-13.00 ,-18.00 ,-28.00 ,-38.00 ,-48.00 
문과,동아대학교,의예과[지역],오류(영어국사),0.00 ,0.00 ,0.00 ,,,611.82 ,608.72 ,605.67 ,0.03 ,0.06 ,0.12 ,0.10 ,-,-,-,-,-,0.09 ,-,-,-,-,-,★의대,가,10 ,부산,부산,공통,동아대,의예(지),통합선발,동아의학,자유선택,표+표,국수영탐(2),국수영탐(2),,,2 ,200 ,200 ,200 ,33%,33%,33%,0.00 ,-2.00 ,-5.00 ,-8.00 ,-13.00 ,-18.00 ,-28.00 ,-38.00 ,-48.00 
문과,부산대학교,의예과,오류(영어국사),0.00 ,0.00 ,0.00 ,,,617.45 ,615.49 ,611.66 ,0.00 ,0.00 ,0.00 ,0.21 ,-,-,-,-,-,0.07 ,-,-,-,-,-,★의대,나,20 ,부산,부산,공통,부산대,의예,통합선발,부산의학,자유선택,표+변,국수영탐(2),국수영탐(2),,,2 ,160 ,240 ,240 ,25%,38%,38%,0.00 ,-1.60 ,-4.00 ,-8.00 ,-12.00 ,-16.00 ,-20.00 ,-24.00 ,-28.00 
문과,부산대학교,의예과[지역],오류(영어국사),0.00 ,0.00 ,0.00 ,,,615.27 ,611.97 ,609.73 ,0.00 ,0.00 ,0.01 ,0.15 ,-,-,-,-,-,0.11 ,-,-,-,-,-,★의대,나,20 ,부산,부산,공통,부산대,의예(지),통합선발,부산의학,자유선택,표+변,국수영탐(2),국수영탐(2),,,2 ,160 ,240 ,240 ,25%,38%,38%,0.00 ,-1.60 ,-4.00 ,-8.00 ,-12.00 ,-16.00 ,-20.00 ,-24.00 ,-28.00 
문과,서울대학교,의예과,오류(영어국사),0.00 ,0.00 ,0.00 ,,,422.65 ,420.66 ,416.86 ,0.00 ,0.00 ,0.00 ,0.01 ,-,-,-,-,-,0.00 ,-,-,-,-,-,★의대,나,29 ,서울,서울,공통,서울대,의예,이과계열,서울자연,미적기하+과탐 필수,표+표,국수영탐(2),국수영탐(2),,,2 ,200 ,240 ,160 ,33%,40%,27%,0.00 ,-0.50 ,-2.00 ,-4.00 ,-6.00 ,-8.00 ,-10.00 ,-12.00 ,-14.00 
문과,서울대학교,의예과[지역],오류(영어국사),0.00 ,0.00 ,0.00 ,,,421.06 ,418.07 ,415.38 ,0.00 ,0.00 ,0.00 ,0.01 ,-,-,-,-,-,0.01 ,-,-,-,-,-,★의대,나,10 ,서울,서울,공통,서울대,의예(지),이과계열,서울자연,미적기하+과탐 필수,표+표,국수영탐(2),국수영탐(2),,,2 ,200 ,240 ,160 ,33%,40%,27%,0.00 ,-0.50 ,-2.00 ,-4.00 ,-6.00 ,-8.00 ,-10.00 ,-12.00 ,-14.00 
문과,성균관대학교,의예과,오류(영어국사),0.00 ,0.00 ,0.00 ,,,687.23 ,685.26 ,683.55 ,0.00 ,0.01 ,0.01 ,0.00 ,0.00 ,-,-,-,-,0.00 ,0.00 ,-,-,-,-,★의대,가,15 ,경기,수원,공통,성균관,의예,통합선발,성균의학,자유선택,표+변,국수영탐(2)中가중택4,,,국수영탐(2)中가중택4,2 ,선택형,선택형,선택형,우수과목에 가중치,,,0.00 ,-0.50 ,-1.50 ,-13.00 ,-20.50 ,-25.00 ,-28.00 ,-31.00 ,-34.00 
문과,순천향대학교,의예과,오류(영어국사),800.00 ,0.00 ,800.00 ,94.00 ,304497 ／ 323933,1005.54 ,1005.11 ,1004.61 ,0.00 ,0.00 ,0.00 ,0.00 ,0.01 ,0.00 ,0.00 ,-,-,0.00 ,0.01 ,0.00 ,0.00 ,-,-,★의대,다,30 ,충남,천안,공통,순천향,의예,통합선발,순천향의학,자유선택,백+백,국수영탐(2),국수영탐(2),,,2 ,40 ,60 ,40 ,29%,43%,29%,0.00 ,-2.40 ,-6.60 ,-13.80 ,-24.00 ,-36.00 ,-46.20 ,-53.40 ,-57.60 
문과,순천향대학교,의예과[지역],오류(영어국사),800.00 ,0.00 ,800.00 ,94.00 ,304497 ／ 323933,1005.00 ,1004.17 ,1003.27 ,0.00 ,0.00 ,0.00 ,0.00 ,-,-,-,-,-,0.00 ,-,-,-,-,-,★의대,수시이월,0 ,충남,천안,공통,순천향,의예(지),통합선발,순천향의학,자유선택,백+백,국수영탐(2),국수영탐(2),,,2 ,40 ,60 ,40 ,29%,43%,29%,0.00 ,-2.40 ,-6.60 ,-13.80 ,-24.00 ,-36.00 ,-46.20 ,-53.40 ,-57.60 
문과,아주대학교,의예과,오류(영어국사),0.00 ,0.00 ,0.00 ,,,949.15 ,946.37 ,941.52 ,0.00 ,0.00 ,0.00 ,0.02 ,-,-,-,-,-,0.02 ,-,-,-,-,-,★의대,나,10 ,경기,수원,공통,아주대,의예,통합선발,아주의학,자유선택,표+변,국수영탐(2),국수영탐(2),,,2 ,190 ,380 ,285 ,22%,44%,33%,0.00 ,-1.90 ,-3.80 ,-15.20 ,-38.00 ,-57.00 ,-76.00 ,-85.50 ,-95.00 
