< 미적·기하 and 과학탐구 응시자 기준 분석결과 >,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1) 적정점수=합격률80%인 점수, 예상점수=합격률50%인 점수, 소신점수=합격률20%인 점수",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2) 나의 점수가 적정점수 이상인 경우(=합격률80%이상)은 진한녹색. 예상점수 이상이나 적정점수 미만인 경우(=합격률50~79%) 연한녹색. 예상점수 미만인 경우 노랑색(=합격률20~49%; 소신점수 이상) 또는 붉은색(=합격률20%미만; 소신점수에도 미달), 필수과목 결격사유로 응시제한된 경우 흰색",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
모집단위,,,,나의 환산점수 및 환산점수기준 계열內전국등수(누백),,,,,2026학년도(20251113수능) 기준 지원선,,,,,,이과응시자기준 과거입시결과(합격권),,,,,,과거입시결과(상위70%),,,,,,모집군 및 정원,,,,,,,,수능반영방법,,,,,,,,,국수탐구성비 및 영어1등급대비감점,,,,,,,,,,,,,,
계열,대학교,전공,합격가능성,수능점수,내신점수,수능+내신,누백,전국등수 / 이과,적정점수,예상점수,소신점수,적정누백,예상누백,소신누백,2411 ,2311 ,2211 ,2111 ,2011 ,1911 ,2411 ,2311 ,2211 ,2111 ,2011 ,1911 ,대학구분,모집군,정원,시도,시군,학과특성,대학교(약칭),전공(약칭),선발유형,점수환산,수탐선택,수능요소,수능조합,필수,선택,가중택,탐구과목수,국어배점,수학배점,탐구배점,국어구성비,수학구성비,탐구구성비,영어1환점,영어2환점,영어3환점,영어4환점,영어5환점,영어6환점,영어7환점,영어8환점,영어9환점
이과,가천대학교,의예과,오류(영어국사),0.00 ,0.00 ,0.00 ,,,98.47 ,98.33 ,98.13 ,0.48 ,0.63 ,0.81 ,0.55 ,0.25 ,0.24 ,0.49 ,0.36 ,0.37 ,0.49 ,0.25 ,0.24 ,0.38 ,0.26 ,0.27 ,★의대,가,13 ,인천,인천,공통,가천대,의예,이과계열,가천의학,미적기하+과탐 필수,백+백,국수영탐(2),국수영탐(2),,,2 ,25 ,30 ,25 ,31%,38%,31%,0.00 ,-0.60 ,-1.20 ,-2.40 ,-3.60 ,-7.60 ,-9.60 ,-11.60 ,-13.60 
이과,가톨릭관동대학교,의예과,오류(영어국사),0.00 ,0.00 ,0.00 ,,,1005.01 ,1002.13 ,998.63 ,1.25 ,1.65 ,2.10 ,1.67 ,1.31 ,0.75 ,1.14 ,1.02 ,1.15 ,0.92 ,1.05 ,0.66 ,0.67 ,0.91 ,1.02 ,★의대,다,16 ,강원,강릉,공통,관동대,의예,통합선발,관동의학,자유선택,백+백,국수영탐(2),국수영탐(2),,,2 ,200 ,300 ,300 ,25%,38%,38%,0.00 ,-4.00 ,-10.00 ,-16.00 ,-22.00 ,-28.00 ,-34.00 ,-40.00 ,-44.00 
이과,가톨릭관동대학교,의예과[지역],오류(영어국사),0.00 ,0.00 ,0.00 ,,,1002.25 ,995.40 ,985.99 ,1.63 ,2.46 ,3.58 ,-,-,-,-,-,-,-,-,-,-,-,-,★의대,다,2 ,강원,강릉,공통,관동대,의예(지),통합선발,관동의학,자유선택,백+백,국수영탐(2),국수영탐(2),,,2 ,200 ,300 ,300 ,25%,38%,38%,0.00 ,-4.00 ,-10.00 ,-16.00 ,-22.00 ,-28.00 ,-34.00 ,-40.00 ,-44.00 
이과,가톨릭대학교,의예과,오류(영어국사),0.00 ,0.00 ,0.00 ,,,664.23 ,662.06 ,657.74 ,0.17 ,0.23 ,0.45 ,0.15 ,0.10 ,0.11 ,0.38 ,0.11 ,0.13 ,0.13 ,0.07 ,0.06 ,0.09 ,0.10 ,0.11 ,★의대,가,37 ,서울,서울,공통,가톨릭,의예,통합선발,가톨릭의학,자유선택,표+변,국수영탐(2),국수영탐(2),,,2 ,285 ,380 ,285 ,30%,40%,30%,0.00 ,-0.95 ,-2.85 ,-4.75 ,-6.65 ,-8.55 ,-11.40 ,-14.25 ,-19.00 
이과,강원대학교,의예과,오류(영어국사),0.00 ,0.00 ,0.00 ,,,508.03 ,505.96 ,504.35 ,0.92 ,1.31 ,1.71 ,1.20 ,0.76 ,0.59 ,1.02 ,0.94 ,-,1.03 ,0.65 ,0.54 ,0.95 ,0.90 ,-,★의대,가,10 ,강원,춘천,공통,강원대,의예,이과계열,강원의학,과탐 필수,백+백,국수영탐(2),국수영탐(2),,,2 ,100 ,150 ,150 ,25%,38%,38%,0.00 ,-3.00 ,-6.00 ,-9.00 ,-19.00 ,-22.00 ,-25.00 ,-28.00 ,-100.00 
이과,강원대학교,의예과[지역],오류(영어국사),0.00 ,0.00 ,0.00 ,,,506.18 ,502.88 ,499.54 ,1.26 ,2.02 ,2.82 ,4.78 ,-,-,-,-,-,4.12 ,-,-,-,-,-,★의대,가,5 ,강원,춘천,공통,강원대,의예(지),이과계열,강원의학,과탐 필수,백+백,국수영탐(2),국수영탐(2),,,2 ,100 ,150 ,150 ,25%,38%,38%,0.00 ,-3.00 ,-6.00 ,-9.00 ,-19.00 ,-22.00 ,-25.00 ,-28.00 ,-100.00 
이과,건국대학교(글로컬),의예과,오류(영어국사),0.00 ,0.00 ,0.00 ,,,969.29 ,964.72 ,957.35 ,0.82 ,1.17 ,1.98 ,1.34 ,1.58 ,0.38 ,0.65 ,-,-,0.74 ,0.69 ,0.34 ,0.61 ,-,-,★의대,다,9 ,충북,충주,공통,건국글,의예,이과계열,건국글의학,과탐 필수,표+표,국수영탐(2),국수영탐(2),,,2 ,200 ,300 ,300 ,25%,38%,38%,0.00 ,-10.53 ,-21.05 ,-31.58 ,-42.11 ,-115.79 ,-136.84 ,-157.89 ,-200.00 
이과,건국대학교(글로컬),의예과[지역],오류(영어국사),0.00 ,0.00 ,0.00 ,,,963.34 ,958.07 ,950.36 ,1.26 ,1.84 ,2.70 ,3.62 ,1.33 ,1.02 ,-,-,-,3.00 ,1.24 ,0.95 ,-,-,-,★의대,다,13 ,충북,충주,공통,건국글,의예(지),이과계열,건국글의학,과탐 필수,표+표,국수영탐(2),국수영탐(2),,,2 ,200 ,300 ,300 ,25%,38%,38%,0.00 ,-10.53 ,-21.05 ,-31.58 ,-42.11 ,-115.79 ,-136.84 ,-157.89 ,-200.00 
이과,건양대학교,의예과,오류(영어국사),0.00 ,0.00 ,0.00 ,,,982.35 ,979.79 ,977.00 ,0.99 ,1.31 ,1.68 ,1.15 ,0.89 ,0.53 ,1.05 ,1.00 ,1.11 ,1.05 ,0.73 ,0.49 ,0.80 ,0.89 ,1.08 ,★의대,가,5 ,대전,대전,공통,건양대,의예,이과계열,건양의학,과탐 필수,백+백,국수영탐(2),국수영탐(2),,,2 ,200 ,300 ,300 ,25%,38%,38%,0.00 ,-4.00 ,-8.00 ,-12.00 ,-16.00 ,-20.00 ,-24.00 ,-28.00 ,-32.00 
이과,건양대학교,의예과[지역],오류(영어국사),0.00 ,0.00 ,0.00 ,,,979.22 ,974.00 ,967.18 ,1.35 ,2.03 ,2.83 ,-,-,-,-,-,-,-,-,-,-,-,-,★의대,가,1 ,대전,대전,공통,건양대,의예(지),이과계열,건양의학,과탐 필수,백+백,국수영탐(2),국수영탐(2),,,2 ,200 ,300 ,300 ,25%,38%,38%,0.00 ,-4.00 ,-8.00 ,-12.00 ,-16.00 ,-20.00 ,-24.00 ,-28.00 ,-32.00 
