region,university,category,admission_type,year,department,perfect_score,convert_50_cut,convert_70_cut,grade_50_cut,grade_70_cut,korean,math,inquiry,average,english,recruitment_count,competition_rate,additional_pass,total_apply,pass_num,real_competition_rate
강원,강원대,인문,정시(나),2022,윤리교육과,500,,410.8,,,70.6,64.2,82.5,76.93,3,5,3.8,2,19,7,2.71
강원,강원대,의약학,정시(가),2023,의예과,531.5,,525.03,,,,,,98.5,1,15,6.53,20,97.95,35,2.8
강원,강원대,의약학,정시(가),2022,의예과,500,,521.36,,,96,98,97,97.5,1,15,6.67,28,100.05,43,2.33
강원,강원대,의약학,정시(가),2021,의예과,500,,533.4,,,94.4,96.8,97.5,96.8,,19,5.68,15,107.92,34,3.17
강원,강원대,자연,정시(가),2024,의생명융합학부,516.5,,382.95,,,,,,77.5,,20,5.8,26,116,46,2.52
강원,강원대,자연,정시(가),2023,의생명융합학부,531.5,,374.2,,,,,,64.75,3.33,17,5.59,16,95.03,33,2.88
강원,강원대,자연,정시(가),2022,의생명융합학부,500,,373.67,,,55.2,70,62.6,62.97,3,16,4.44,10,71.04,26,2.73
강원,강원대,자연,정시(가),2021,의생명융합학부,500,,353.6,,,58.2,55,62.3,60,,23,3.04,11,69.92,34,2.06
강원,강원대,인문,정시(나),2024,윤리교육과,511.5,,408.9,,,,,,77.88,,4,4.5,4,18,8,2.25
강원,강원대,인문,정시(나),2023,윤리교육과,531.5,,400.5,,,,,,77.25,5,5,5.6,9,28,14,2
강원,강원대,의약학,정시(가),2024,의예과,516.5,,494.25,,,,,,98.75,,16,6.88,36,110.08,52,2.12
강원,강원대,인문,정시(나),2021,윤리교육과,500,,409.8,,,71,69,79,76.2,,6,2.5,6,15,12,1.25
강원,강원대,인문,정시(나),2024,원예·농업자원경제학부,531.5,,384.4,,,,,,74.13,,9,4,5,36,14,2.57
강원,강원대,인문,정시(나),2023,원예·농업자원경제학부,531.5,,376.5,,,,,,70.75,3,7,6.43,6,45.01,13,3.46
강원,강원대,인문,정시(나),2022,원예·농업자원경제학부,500,,350.5,,,47,59,69.5,63.33,4,9,6.89,3,62.01,12,5.17
